combined_text,clean_text,rating_num,sentiment,review_title,review_text,product,review_country,reviewed_at
"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ? NOTE:",which iphone you should purchase iphone x xs xr note,3.0,neutral,"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ?",NOTE:,Apple iPhone XR (64GB) - Black, India ,2018-12-12
Don't buy iPhone xr from Amazon. Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,don t buy iphone xr from amazon very bad experience with this iphone xr phone back camera found defective and non functional amazon is very careless i haven t got any response on confirmation for replacing i am just hanging with a damaged piece worth of more than rupees,1.0,negative,Don't buy iPhone xr from Amazon.,Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,Apple iPhone XR (64GB) - Black, India ,2018-11-17
Happy with the purchase Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,happy with the purchase amazing phone with amazing camera coming from iphone plus great service from amazon,5.0,positive,Happy with the purchase,Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,Apple iPhone XR (64GB) - Black, India ,2019-01-27
"Amazon is not an apple authorised reseller. Please take a note. So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",amazon is not an apple authorised reseller please take a note so i got the iphone xr just today the product looks amazing but unfortunately the face id is not working and there s a glitch in the front camera s portrait mode that s fine it may happen but what s not fine is the pathetic service provided by amazon and apple firstly amazon takes no responsibility of the product once sold talking about the giant apple the so called market leaders went to the service centre after running a diagnostic the solution they came up with is sending the phone to bangalore for repair like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product and also to mention amazon in is not an authorised apple reseller i guess this issue will be escalated to the consumer court thank you amazon and apple,1.0,negative,Amazon is not an apple authorised reseller. Please take a note.,"So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",Apple iPhone XR (64GB) - Black, India ,2019-05-02
"Excellent Battery life and buttery smooth UI I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",excellent battery life and buttery smooth ui i ve been an android user all my life until i decided to try iphone xr for ios loving the camera and battery life is an absolute joy to have it s been more than one month since i got this phone and i m loving it face id works flawlessly even in the dark and the dual sim function is working like a charm i m using vodafone as my primary sim and jio as e sim and have faced no problem whatsoever,5.0,positive,Excellent Battery life and buttery smooth UI,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",Apple iPhone XR (64GB) - Black, India ,2019-05-24
Never purchase a phone online. I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,never purchase a phone online i was delivered a phone that did not work immediately after removing from the box i was not able to return it as i need to first check with apple apple service told me that the phone was lying without charge since months and hence the battery failed now i have had to leave the phone with apple for repairs and waiting for them to replace the battery please answer this why should i run around for the sub par quality device when i was shipped a dead phone last time i ever purchase a phone online,1.0,negative,Never purchase a phone online.,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,Apple iPhone XR (64GB) - Black, India ,2019-04-22
"Awesome iPhone It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",awesome iphone it has been a month since i started using my iphone xr and the experience has been awesome excellent battery life smooth operating system and most of all dual sim functionality are the best features of this iphone spent so many days to decide on the colour but opted for white and i m very happy about it coral is also a very good colour option which i have bought for my wife only issue bothering me is the time taken to charge the phone you need to opt for overnight charging other than that extremely happy with the purchase,5.0,positive,Awesome iPhone,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",Apple iPhone XR (64GB) - Black, India ,2018-12-07
Exchange of I phone xr with xs. The phone is hanging. Video quality is not very good.,exchange of i phone xr with xs the phone is hanging video quality is not very good,1.0,negative,Exchange of I phone xr with xs.,The phone is hanging. Video quality is not very good.,Apple iPhone XR (64GB) - Black, India ,2018-11-25
Worth upgrading from the 6S? I'll know in a few months I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,worth upgrading from the s i ll know in a few months i ll use this review to mostly say what i m not a fan of in this particular iphone model,4.0,positive,Worth upgrading from the 6S? I'll know in a few months,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,Apple iPhone XR (64GB) - Black, India ,2019-04-27
Def a bad experience Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,def a bad experience went with the iphone xr after over a month of consideration amazon was offering some really good discounts and felt the time was right to upgrade having used the iphone for four seamless years,1.0,negative,Def a bad experience,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,Apple iPhone XR (64GB) - Black, India ,2019-04-21
Best of best quality Best mobile  and my favourite Where nice XR Amazing futures and best camera so thanks for  Amazon,best of best quality best mobile and my favourite where nice xr amazing futures and best camera so thanks for amazon,5.0,positive,Best of best quality,Best mobile  and my favourite Where nice XR Amazing futures and best camera so thanks for  Amazon,Apple iPhone XR (64GB) - Black, India ,2019-01-27
"Horrible Experience with Amazon Don't buy Apple products from Amazon. I got a defective product which is not activating. During first charging the iPhone started heating like anything. Since there was a 10 days replacement policy, so I asked Amazon to replace it as the product is defective. But very poor customer service from Amazon. They didn't change the iPhone rather told me to visit service centre. Now I am with a defective product which is not operating.",horrible experience with amazon don t buy apple products from amazon i got a defective product which is not activating during first charging the iphone started heating like anything since there was a days replacement policy so i asked amazon to replace it as the product is defective but very poor customer service from amazon they didn t change the iphone rather told me to visit service centre now i am with a defective product which is not operating,1.0,negative,Horrible Experience with Amazon,"Don't buy Apple products from Amazon. I got a defective product which is not activating. During first charging the iPhone started heating like anything. Since there was a 10 days replacement policy, so I asked Amazon to replace it as the product is defective. But very poor customer service from Amazon. They didn't change the iPhone rather told me to visit service centre. Now I am with a defective product which is not operating.",Apple iPhone XR (64GB) - Black, India ,2019-07-21
It fulfilled my expectations. Face recognition is slower some times. I have no complaints about it. I am die hard fan of XR. I was eagerly waiting for dual sim iPhone. It’s heavy but looks are so attractive that you will be ready to carry that little extra weight. I am using it since two months. Don’t watch any reviews. Just buy it and enjoy. Yes it’s expensive. Sometimes rather many times money is not worth than happiness.,it fulfilled my expectations face recognition is slower some times i have no complaints about it i am die hard fan of xr i was eagerly waiting for dual sim iphone it s heavy but looks are so attractive that you will be ready to carry that little extra weight i am using it since two months don t watch any reviews just buy it and enjoy yes it s expensive sometimes rather many times money is not worth than happiness,5.0,positive,It fulfilled my expectations.,Face recognition is slower some times. I have no complaints about it. I am die hard fan of XR. I was eagerly waiting for dual sim iPhone. It’s heavy but looks are so attractive that you will be ready to carry that little extra weight. I am using it since two months. Don’t watch any reviews. Just buy it and enjoy. Yes it’s expensive. Sometimes rather many times money is not worth than happiness.,Apple iPhone XR (64GB) - Black, India ,2019-04-04
"Great phone, if you don't care about OLED screen, colors Great Phone, I am happy with the phone so far.",great phone if you don t care about oled screen colors great phone i am happy with the phone so far,5.0,positive,"Great phone, if you don't care about OLED screen, colors","Great Phone, I am happy with the phone so far.",Apple iPhone XR (64GB) - Black, India ,2019-04-12
"A Dark Horse There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB.",a dark horse there are lots of reviews on net for xr i would give just quick points based on my experience of xr gb,5.0,positive,A Dark Horse,"There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB.",Apple iPhone XR (64GB) - Black, India ,2019-06-04
Hang’s many time Don’t buy this phone only waste of money it hang’s many time.,hang s many time don t buy this phone only waste of money it hang s many time,2.0,negative,Hang’s many time,Don’t buy this phone only waste of money it hang’s many time.,Apple iPhone XR (64GB) - Black, India ,2018-11-27
I PHONE  THOFE ME MILE THO LELO STEVE JOBS GONE i phone gone !!!!!!,i phone thofe me mile tho lelo steve jobs gone i phone gone,1.0,negative,I PHONE  THOFE ME MILE THO LELO,STEVE JOBS GONE i phone gone !!!!!!,Apple iPhone XR (64GB) - Black, India ,2019-09-24
Network Issue if you are using dual sim in iPhone XR Single SIM is working fine but if you are using E-sim in this phone. Not good quality for dual sim. Many times Number showing switched off.,network issue if you are using dual sim in iphone xr single sim is working fine but if you are using e sim in this phone not good quality for dual sim many times number showing switched off,3.0,neutral,Network Issue if you are using dual sim in iPhone XR,Single SIM is working fine but if you are using E-sim in this phone. Not good quality for dual sim. Many times Number showing switched off.,Apple iPhone XR (64GB) - Black, India ,2018-12-09
Not supporting any sim It is not supporting any type of sim.. the network gets disconnected after sometime only,not supporting any sim it is not supporting any type of sim the network gets disconnected after sometime only,1.0,negative,Not supporting any sim,It is not supporting any type of sim.. the network gets disconnected after sometime only,Apple iPhone XR (64GB) - Black, India ,2019-01-01
"Best Buy!! iPhone XR full fills the dream of big iPhone i always was unhappy with the size of my previous iPhones (iPhone 7 and 5s), I badly needed an upgrade and but don’t have the budget of 1lakh so I took my chances with XR and I am very happy with my purchase.",best buy iphone xr full fills the dream of big iphone i always was unhappy with the size of my previous iphones iphone and s i badly needed an upgrade and but don t have the budget of lakh so i took my chances with xr and i am very happy with my purchase,5.0,positive,Best Buy!! iPhone XR full fills the dream of big iPhone,"i always was unhappy with the size of my previous iPhones (iPhone 7 and 5s), I badly needed an upgrade and but don’t have the budget of 1lakh so I took my chances with XR and I am very happy with my purchase.",Apple iPhone XR (64GB) - Black, India ,2019-06-06
Disappointment for an iPhone This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.,disappointment for an iphone this is a product which lets down the whole high end feel of an iphone apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market the premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera overall a cheap buy for an apple lover but for a first time user the phone is totally let down,3.0,neutral,Disappointment for an iPhone,This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.,Apple iPhone XR (64GB) - Black, India ,2019-02-06
Fake handsetset received Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty,fake handsetset received im facing some speaker related issues and had given my handset xr gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty,1.0,negative,Fake handsetset received,Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty,Apple iPhone XR (64GB) - Black, India ,2019-07-13
Go for XR if you confused between X and XR All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules,go for xr if you confused between x and xr all in all an amazing product yet again from apple i know many people are confused wheather to go for an apple x or xr well to be frank i suggest xr purely because of the fact that xr will have yr more support from apple in respect to x other than that the dual camera of x and single camera of xr have the same quality as far as speed goes both are same xr is dual sim but you gotta understand you can insert just sim the nd sim is an esim which needs to be activated by telecom service providers theres not much difference in display as well all in all xr rules,5.0,positive,Go for XR if you confused between X and XR,All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules,Apple iPhone XR (64GB) - Black, India ,2019-04-24
Pathetic Apple and IPhone Review I had taken the phone but the phones holds too many defects and issues. When we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin/mouth.,pathetic apple and iphone review i had taken the phone but the phones holds too many defects and issues when we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin mouth,1.0,negative,Pathetic Apple and IPhone Review,I had taken the phone but the phones holds too many defects and issues. When we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin/mouth.,Apple iPhone XR (64GB) - Black, India ,2020-02-05
"got at ₹49,900 but do i wasted my 50k?? ABSOLUTELY NO! there are two angles from which smartphones are generally looked. and i will be very honest in this review so that a genuine user can understand if he really wants apple!",got at but do i wasted my k absolutely no there are two angles from which smartphones are generally looked and i will be very honest in this review so that a genuine user can understand if he really wants apple,5.0,positive,"got at ₹49,900 but do i wasted my 50k?? ABSOLUTELY NO!",there are two angles from which smartphones are generally looked. and i will be very honest in this review so that a genuine user can understand if he really wants apple!,Apple iPhone XR (64GB) - Black, India ,2019-09-10
"Smooth as Butter Smooth as butter, no lag and awesome display with superb camera..Just the perfect phone",smooth as butter smooth as butter no lag and awesome display with superb camera just the perfect phone,5.0,positive,Smooth as Butter,"Smooth as butter, no lag and awesome display with superb camera..Just the perfect phone",Apple iPhone XR (64GB) - Black, India ,2019-04-11
"Nice Phone Using around a week now. It’s snappy fast. Power efficient. Gives a back up of a whole day on average use. It has a single but impressive rear camera. Selfie camera is excellent. Low light performance is average though. The phone is bulky, Heavy, weighing more than 190 grams. You surely need to use a protective case to protect Camera bump and glass on both sides. Display is crisp.",nice phone using around a week now it s snappy fast power efficient gives a back up of a whole day on average use it has a single but impressive rear camera selfie camera is excellent low light performance is average though the phone is bulky heavy weighing more than grams you surely need to use a protective case to protect camera bump and glass on both sides display is crisp,5.0,positive,Nice Phone,"Using around a week now. It’s snappy fast. Power efficient. Gives a back up of a whole day on average use. It has a single but impressive rear camera. Selfie camera is excellent. Low light performance is average though. The phone is bulky, Heavy, weighing more than 190 grams. You surely need to use a protective case to protect Camera bump and glass on both sides. Display is crisp.",Apple iPhone XR (64GB) - Black, India ,2019-04-15
Awsome Product by Apple This is by far the best smartphone i have ever owned.,awsome product by apple this is by far the best smartphone i have ever owned,5.0,positive,Awsome Product by Apple,This is by far the best smartphone i have ever owned.,Apple iPhone XR (64GB) - Black, India ,2019-05-14
"Awesome Phone A Perfect Phone with a great camera, great performance, Great look, Great Battery life and a good Display. Worth the trade off. Perfect size",awesome phone a perfect phone with a great camera great performance great look great battery life and a good display worth the trade off perfect size,5.0,positive,Awesome Phone,"A Perfect Phone with a great camera, great performance, Great look, Great Battery life and a good Display. Worth the trade off. Perfect size",Apple iPhone XR (64GB) - Black, India ,2018-11-26
"NEVER BUY FROM AMAZON NEVER BUY it from Amazon. VERY POOR PRODUCT AND CUSTOMER CARE.i bought it and received it on 3.10.2019 and noted a crack on right top corner of display which was visible when the plastic sticker was removed and complained to amazon customer cell on 4.10.2019. they assured a replacement. nothing happened. when i called them a number of times, they simply tranfer my calls to diiferent sections and then assurinng call back and then not calling back. Apple says it is the duty of amazon to take measures for replacement. Still left nowhere with my money gone on a damaged product.",never buy from amazon never buy it from amazon very poor product and customer care i bought it and received it on and noted a crack on right top corner of display which was visible when the plastic sticker was removed and complained to amazon customer cell on they assured a replacement nothing happened when i called them a number of times they simply tranfer my calls to diiferent sections and then assurinng call back and then not calling back apple says it is the duty of amazon to take measures for replacement still left nowhere with my money gone on a damaged product,1.0,negative,NEVER BUY FROM AMAZON,"NEVER BUY it from Amazon. VERY POOR PRODUCT AND CUSTOMER CARE.i bought it and received it on 3.10.2019 and noted a crack on right top corner of display which was visible when the plastic sticker was removed and complained to amazon customer cell on 4.10.2019. they assured a replacement. nothing happened. when i called them a number of times, they simply tranfer my calls to diiferent sections and then assurinng call back and then not calling back. Apple says it is the duty of amazon to take measures for replacement. Still left nowhere with my money gone on a damaged product.",Apple iPhone XR (64GB) - Black, India ,2019-10-07
Worthy buy Extremely easy to use. Good specifications.,worthy buy extremely easy to use good specifications,5.0,positive,Worthy buy,Extremely easy to use. Good specifications.,Apple iPhone XR (64GB) - Black, India ,2018-11-01
Amazing phone! iOS makes it worth the money! Delivered 3 days late by the seller. Best iPhone I’ve used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this would’ve been wonderful but apple being apple wont do that!,amazing phone ios makes it worth the money delivered days late by the seller best iphone i ve used sold my one plus and got this one the screen is not an oled so you miss out on deep blacks and saturation but i noticed the colours are better than the older iphones with lcd it also has thick bezels which take some time to get used to an oled screen on this would ve been wonderful but apple being apple wont do that,5.0,positive,Amazing phone! iOS makes it worth the money! Delivered 3 days late by the seller.,Best iPhone I’ve used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this would’ve been wonderful but apple being apple wont do that!,Apple iPhone XR (64GB) - Black, India ,2019-05-18
Worst camera Poor Front camera cannot take photo with light at background (photo attached),worst camera poor front camera cannot take photo with light at background photo attached,1.0,negative,Worst camera,Poor Front camera cannot take photo with light at background (photo attached),Apple iPhone XR (64GB) - Black, India ,2019-06-17
